"id","publishDate","category","size","price","region","court","bailiff","period","ends","href","address","pricePerMeter"
"15584","28 януари 2021 г. в 11:08 часа","Парцел","390.00","38400.00","гр. София","гр. София град","Ренета Милчева Василева","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/15584","кв 'Бенковски' местност 'Турска ливада'","98.46153846153847"
"17177","16 февруари 2021 г. в 10:21 часа","Земеделска земя","5495.00","7639.20","с. Румянцево","гр. Ловеч","Румен Йорданов Димитров","от 07.03.2021 до 07.04.2021","08.04.2021 14:00","https://sales.bcpea.org/properties/17177","Румен Йорданов Димитров","1.390209281164695"
"17176","16 февруари 2021 г. в 10:18 часа","Земеделска земя","4984.00","6926.40","с. Румянцево","гр. Ловеч","Румен Йорданов Димитров","от 07.03.2021 до 07.04.2021","08.04.2021 14:00","https://sales.bcpea.org/properties/17176","Румен Йорданов Димитров","1.3897271268057785"
"16993","12 февруари 2021 г. в 15:33 часа","Хотел","3777.00","795736.80","гр. Смолян","гр. Смолян","Петко Иванов Мачкърски","от 07.03.2021 до 07.04.2021","08.04.2021 10:00","https://sales.bcpea.org/properties/16993","ЖИЛИЩНО-ХОТЕЛСКИ КОМПЛЕКС 'ДОЛИНАТА НА ОРФЕЙ'","210.67958697378873"
"16977","12 февруари 2021 г. в 14:46 часа","Заведение","205.37","39138.40","гр. Смолян","гр. Смолян","Петко Иванов Мачкърски","от 07.03.2021 до 07.04.2021","08.04.2021 11:00","https://sales.bcpea.org/properties/16977","БАР РУАН РОЯЛ УЛ. ПРОЛЕТ № 10","190.5750596484394"
"16622","9 февруари 2021 г. в 16:10 часа","Обособена част","9.00","2800.00","гр. Нови пазар","гр. Шумен","Даниела Жечева Златева","от 07.03.2021 до 07.04.2021","08.04.2021 09:00","https://sales.bcpea.org/properties/16622","Даниела Жечева Златева","311.1111111111111"
"16615","9 февруари 2021 г. в 15:48 часа","Производствен имот","3024.00","80000.00","гр. Нови пазар","гр. Шумен","Даниела Жечева Златева","от 07.03.2021 до 07.04.2021","08.04.2021 09:00","https://sales.bcpea.org/properties/16615","ул.ЦАР ОСВОБОДИТЕЛ","26.455026455026456"
"16264","4 февруари 2021 г. в 13:26 часа","Къща","89.00","10000.00","с. Бежаново","гр. Ловеч","Велислав Любомиров Петров","от 07.03.2021 до 07.04.2021","08.04.2021 14:00","https://sales.bcpea.org/properties/16264","Велислав Любомиров Петров","112.35955056179775"
"17644","22 февруари 2021 г. в 10:30 часа","Земеделска земя","12300.00","13968.00","с. Горски извор","гр. Хасково","Захари Георгиев Запрянов","от 06.03.2021 до 06.04.2021","07.04.2021 10:30","https://sales.bcpea.org/properties/17644","Захари Георгиев Запрянов","1.1356097560975609"
"17642","22 февруари 2021 г. в 10:27 часа","Земеделска земя","556.00","633.60","с. Горски извор","гр. Хасково","Захари Георгиев Запрянов","от 06.03.2021 до 06.04.2021","07.04.2021 10:20","https://sales.bcpea.org/properties/17642","Захари Георгиев Запрянов","1.139568345323741"
"17641","22 февруари 2021 г. в 10:24 часа","Земеделска земя","792.00","702.00","с. Горски извор","гр. Хасково","Захари Георгиев Запрянов","от 06.03.2021 до 06.04.2021","07.04.2021 10:10","https://sales.bcpea.org/properties/17641","Захари Георгиев Запрянов","0.8863636363636364"
"17638","22 февруари 2021 г. в 10:05 часа","Земеделска земя","1000.00","200.00","с. Бодрово","гр. Хасково","Захари Георгиев Запрянов","от 06.03.2021 до 06.04.2021","07.04.2021 11:20","https://sales.bcpea.org/properties/17638","Захари Георгиев Запрянов","0.2"
"17409","18 февруари 2021 г. в 16:11 часа","Земеделска земя","5514.00","2240.00","с. Горно Белево","гр. Стара Загора","Маргарита Любомирова Димитрова","от 06.03.2021 до 06.04.2021","07.04.2021 09:00","https://sales.bcpea.org/properties/17409","Маргарита Любомирова Димитрова","0.4062386652158143"
"17407","18 февруари 2021 г. в 16:05 часа","Земеделска земя","4994.00","2040.00","с. Горно Белево","гр. Стара Загора","Маргарита Любомирова Димитрова","от 06.03.2021 до 06.04.2021","07.04.2021 09:00","https://sales.bcpea.org/properties/17407","Маргарита Любомирова Димитрова","0.408490188225871"
